Ranking	First_Name	Last_Name	Country	Career_Prize_Money
395	Gianluca	Mager	ITA	24278
396	Victor	Baluda	RUS	100550
397	Joris	De Loore	BEL	37096
398	Caio	Zampieri	BRA	226538
399	Marko	Tepavac	SRB	22956
400	Sam	Barry	IRL	52029
401	N Vijay Sundar	Prashanth	IND	52096
402	Zhe	Li	CHN	198631
403	Jeevan	Nedunchezhiyan	IND	77677
404	Maverick	Banes	AUS	48513
405	Chuhan	Wang	CHN	68617
406	Alexander	Ward	GBR	95938
407	Robby	Ginepri	USA	3896643
408	Philipp	Davydenko	RUS	42479
409	Ilija	Bozoljac	SRB	701518
410	Marcus	Willis	GBR	87722
411	N.Sriram	Balaji	IND	82991
412	Mate	Pavic	CRO	293419
413	Calvin	Hemery	FRA	23004
414	Toni	Androic	CRO	140575
415	Michael	Linzer	AUT	74424
416	Takanyi	Garanganga	ZIM	62220
417	Yuya	Kibi	JPN	27649
418	Vladyslav	Manafov	UKR	32454
419	Ivan	Endara	ECU	88554
420	Kento	Takeuchi	JPN	95212
421	Ricardo	Rodriguez - Pace	VEN	53344
422	Thiago	Monteiro	BRA	54679
423	Nicolas	Meister	USA	69347
424	Toshihide	Matsui	JPN	209843
425	Mateo Nicolas	Martinez	ARG	39005
426	Alexandre	Folie	BEL	61759
427	Cristobal	Saavedra-Corvalan	CHI	109059
428	Fritz	Wolmarans	RSA	167793
429	Matteo	Trevisan	ITA	109043
430	Walter	Trusendi	ITA	142579
431	Cem	Ilkel	TUR	34217
432	Vladimir	Ivanov	EST	50891
433	Thales	Turini	BRA	81254
434	Patrik	Rosenholm	SWE	82477
435	Ruan	Roelofse	RSA	78481
436	Hugo	Nys	FRA	57195
437	Christopher	Diaz-Figueroa	GUA	73846
438	Kirill	Dmitriev	RUS	29884
439	Florian	Fallert	GER	27988
440	Julian	Reister	GER	808450
441	Daniel	Masur	GER	16600
442	Ricardo	Ojeda Lara	ESP	34990
443	Gleb	Sakharov	FRA	58480
444	Denis	Matsukevich	RUS	231175
445	Danilo	Petrovic	SRB	47141
446	Lorenzo	Giustino	ITA	99032
447	Guillermo	Rivera-Aranguiz	CHI	91954
448	Maxime	Chazal	FRA	34353
449	Mikhail	Ledovskikh	RUS	260799
450	Nicolaas	Scholtz	RSA	31469
451	Marcos	Giron	USA	82495
452	Martin	Cuevas	URU	59591
453	Peter	Heller	GER	38353
454	Riccardo	Sinicropi	ITA	55828
455	Adrian	Partl	SVK	25032
456	Alexander	Vasilenko	RUS	15490
457	Alessandro	Giannessi	ITA	235131
458	Christopher	Rungkat	INA	73491
459	Peter	Kobelt	USA	22538
460	Sebastien	Boltz	FRA	28834
461	Jan	Hajek	CZE	1426887
462	Filip	Peliwo	CAN	92863
463	Jean-Yves	Aubone	USA	39829
464	Daniel	Garza	MEX	205119
465	Viktor	Durasovic	NOR	9652
466	Rogerio	Dutra Silva	BRA	669781
467	Petru-Alexandru	Luncanu	ROU	111076
468	Laurent	Rochette	FRA	162061
469	Boris	Pashanski	SRB	837645
470	Victor	Crivoi	ROU	619482
471	Daniil	Medvedev	RUS	12716
472	Ilya	Ivashka	BLR	15282
473	Alessandro	Bega	ITA	51053
474	Michael	Venus	NZL	275376
475	Matt	Reid	AUS	286235
476	Janko	Tipsarevic	SRB	7387598
477	Valery	Rudnev	RUS	126955
478	Patricio	Heras	ARG	67169
479	Mauricio	Echazu	PER	82899
480	Vaclav	Safranek	CZE	19605
481	Vasile	Antonescu	ROU	19230
482	Dayne	Kelly	AUS	56969
483	David	Vega Hernandez	ESP	40859
484	Mats	Moraing	GER	15956
485	Evgeny	Tyurnev	RUS	12430
486	Yannick	Maden	GER	20754
487	Bastian	Malla	CHI	17760
488	Shuichi	Sekiguchi	JPN	64340
489	Maximilian	Neuchrist	AUT	73747
490	Hiroyasu	Ehara	JPN	39595
491	Daniele	Giorgini	ITA	165879
492	Dragos	Dima	ROU	16323
493	Ivan	Gakhov	RUS	19296
494	Mikhail	Elgin	RUS	672465
495	Andrew	Harris	AUS	28205
